ENSEMBL,mean.nrc.f,mean.nrc.m,pvalue,stderr,foldchangesMF,log2FoldChangeMF,ENTREZID,SYMBOL
FBgn0085692,0,96.80880845,5.40E-05,9.562997693,Inf,Inf,5740542,CG41561
FBgn0031214,2.520484397,19.40384798,0.000232543,2.161937704,7.698459868,2.944569853,33163,CG11374
FBgn0031217,218.6158493,178.4156416,0.019990686,12.79025057,-1.225317731,-0.293155896,33166,CG11377
FBgn0005278,2346.470164,1274.517494,9.45E-06,78.32043204,-1.841065482,-0.880540941,48552,Sam-S
FBgn0001142,776.0969599,608.2805952,8.72E-05,18.03308691,-1.275886435,-0.351499922,33172,Gs1
FBgn0031231,157.0836688,114.543965,0.010620182,11.63311941,-1.371383196,-0.45563175,33182,mRpL10
FBgn0031235,0.36457242,343.9148438,3.11E-05,30.81893022,943.3375229,9.881630244,33187,CG13693
FBgn0031240,2.408935343,1661.363572,6.89E-08,52.77463933,689.6671499,9.42975644,33192,CG3345
FBgn0086856,133.9517524,60.91306335,5.89E-06,4.922388975,-2.199064454,-1.13688989,33193,CG11555
FBgn0003444,157.9056741,61.8231694,0.000694043,15.04715792,-2.55415042,-1.352843491,33196,smo
FBgn0031247,90.49668888,565.1771139,3.47E-06,29.23068886,6.245279478,2.642766134,33200,CG11562
FBgn0024352,1119.663423,605.7354923,5.59E-05,51.06735323,-1.848436219,-0.886305264,33202,Stip1
FBgn0020622,346.4059106,177.2070774,0.017803592,52.30639837,-1.954808553,-0.967027322,33203,Pi3K21B
FBgn0003278,326.7820358,59.69162114,1.59E-06,14.4012835,-5.474504286,-2.452728335,33210,RpI135
FBgn0263933,478.0562752,299.4441483,0.002103945,34.64499466,-1.596478936,-0.674893518,33212,ebi
FBgn0002593,14079.49366,6857.958729,8.71E-05,775.8553257,-2.053015222,-1.037744324,33214,RpLP1
FBgn0031257,26.39987369,44.03131126,0.036294786,6.566705871,1.667860679,0.737998782,33221,CG4133
FBgn0031265,155.0763196,418.4713478,6.03E-06,17.81826169,2.698486454,1.432150445,33233,CG2794
FBgn0031266,401.7518017,292.1065374,0.000995463,18.38454596,-1.375360529,-0.459809847,33235,Sf3b1
FBgn0040107,0,95.01815193,2.83E-05,8.384077553,Inf,Inf,53552,lectin-21Ca
FBgn0031273,0,31.59938532,0.000192673,3.911347552,Inf,Inf,33244,CG2839
FBgn0011244,0,3188.871676,6.19E-06,216.7343827,Inf,Inf,48572,Hsp60B
FBgn0031275,41.16278803,160.5025092,0.000201973,14.89770536,3.899213753,1.963183245,33248,GABA-B-R3
FBgn0031276,0.21741291,200.1708766,2.00E-06,11.21341577,920.6945304,9.846578766,33249,CG12506
FBgn0040725,0.21741291,300.5533041,1.91E-05,24.76579214,1382.40781,10.43296756,50198,CG13946
FBgn0031279,0.147159511,459.4307655,7.59E-06,32.31879946,3121.991664,11.60825097,33252,CG3544
FBgn0051658,34.04639218,12.03725494,0.005587572,5.220713622,-2.828418302,-1.4999955,318874,Nnf1b
FBgn0086130,134.420889,45.7131824,3.21E-05,8.00375646,-2.940527917,-1.556075187,33254,Dbp21E2
FBgn0015621,77.82389412,37.02494277,0.000274978,5.385571246,-2.101931517,-1.071715666,33259,Clp
FBgn0031285,2083.664896,3624.852277,1.90E-05,126.9984607,1.739652227,0.798798927,33260,CG3662
FBgn0010583,299.1873299,434.9843991,0.000926211,22.45879662,1.453886431,0.539914578,33262,dock
